l1,l2,l3,l4,l5
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",,,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111100-3 Зерно сої
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111200-4 Арахіс
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111300-5 Насіння соняшника
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111500-7 Насіння кунжуту
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111600-8 Насіння гірчиці
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111700-9 Насіння овочів
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111800-0 Насіння плодових культур
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03111000-2 Насіння,03111900-1 Насіння квітів
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03114000-3 Солома та фураж,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03114000-3 Солома та фураж,03114100-4 Солома
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03114000-3 Солома та фураж,03114200-5 Фураж
